danceability	band	value
0.55	low_spotipy	0,064545047
0.55	madcool_spotipy	0,057894020
0.55	ps_spotipy	0,050198427
0.55	ressurrection_fest_spotipy	0,030887635
0.55	rock_fest_bcn_spotipy	0,042308527
0.55	sonar_spotipy	0,050618921
0.55	vida_spotipy	0,053211889
0.55	wam_murcia_spotipy	0,080799046
0.58	al_rumbo_spotipy	0,071853052
0.58	arenal_spotipy	0,082165430
0.58	bbk_spotipy	0,059223962
0.58	cruilla_spotipy	0,056919899
0.58	download_spotipy	0,027416520
0.58	dreambeach_spotipy	0,066307805
0.58	fib_spotipy	0,060426845
0.58	low_spotipy	0,056925146
0.58	madcool_spotipy	0,055442038
0.58	ps_spotipy	0,047900856
0.58	ressurrection_fest_spotipy	0,023293997
0.58	rock_fest_bcn_spotipy	0,029941419
0.58	sonar_spotipy	0,047745358
0.58	vida_spotipy	0,057526366
0.58	wam_murcia_spotipy	0,070960048
0.60	al_rumbo_spotipy	0,071312804
0.60	arenal_spotipy	0,070898599
0.60	bbk_spotipy	0,071477195
0.60	cruilla_spotipy	0,064952949
0.60	download_spotipy	0,021265378
0.60	dreambeach_spotipy	0,074382187
0.60	fib_spotipy	0,053227051
0.60	low_spotipy	0,043926490
0.60	madcool_spotipy	0,058711347
0.60	ps_spotipy	0,045603286
0.60	ressurrection_fest_spotipy	0,015905593
0.60	rock_fest_bcn_spotipy	0,017357344
0.60	sonar_spotipy	0,055923961
0.60	vida_spotipy	0,071428571
0.60	wam_murcia_spotipy	0,061717352
0.63	al_rumbo_spotipy	0,069151810
0.63	arenal_spotipy	0,075570212
0.63	bbk_spotipy	0,065010211
0.63	cruilla_spotipy	0,059444572
0.63	download_spotipy	0,013532513
0.63	dreambeach_spotipy	0,072180083
0.63	fib_spotipy	0,060426845
0.63	low_spotipy	0,045719408
0.63	madcool_spotipy	0,041819916
0.63	ps_spotipy	0,041356263
0.63	ressurrection_fest_spotipy	0,012621857
0.63	rock_fest_bcn_spotipy	0,011716207
0.63	sonar_spotipy	0,054155615
0.63	vida_spotipy	0,062799616
0.63	wam_murcia_spotipy	0,061121049
0.66	al_rumbo_spotipy	0,088600756
0.66	arenal_spotipy	0,067600989
0.66	bbk_spotipy	0,055820286
0.66	cruilla_spotipy	0,054854258
0.66	download_spotipy	0,011247803
0.66	dreambeach_spotipy	0,077807683
0.66	fib_spotipy	0,041398817
0.66	low_spotipy	0,026893770
0.66	madcool_spotipy	0,046042773
0.66	ps_spotipy	0,039894173
0.66	ressurrection_fest_spotipy	0,009645972
0.66	rock_fest_bcn_spotipy	0,007702322
0.66	sonar_spotipy	0,061450044
0.66	vida_spotipy	0,042665388
0.66	wam_murcia_spotipy	0,052772809
0.69	al_rumbo_spotipy	0,076175041
0.69	arenal_spotipy	0,053311349
0.69	bbk_spotipy	0,036419333
0.69	cruilla_spotipy	0,052559100
0.69	download_spotipy	0,009490334
0.69	dreambeach_spotipy	0,051382432
0.69	fib_spotipy	0,033684752
0.69	low_spotipy	0,022859704
0.69	madcool_spotipy	0,040321482
0.69	ps_spotipy	0,029381049
0.69	ressurrection_fest_spotipy	0,008619805
0.69	rock_fest_bcn_spotipy	0,007376871
0.69	sonar_spotipy	0,048850575
0.69	vida_spotipy	0,042186002
0.69	wam_murcia_spotipy	0,040250447
0.71	al_rumbo_spotipy	0,070772555
0.71	arenal_spotipy	0,043968123
0.71	bbk_spotipy	0,038121171
0.71	cruilla_spotipy	0,052788616
0.71	download_spotipy	0,008963093
0.71	dreambeach_spotipy	0,051382432
0.71	fib_spotipy	0,023656467
0.71	low_spotipy	0,013895114
0.71	madcool_spotipy	0,029423784
0.71	ps_spotipy	0,031887489
0.71	ressurrection_fest_spotipy	0,003796819
0.71	rock_fest_bcn_spotipy	0,004664786
0.71	sonar_spotipy	0,062334218
0.71	vida_spotipy	0,029721956
0.71	wam_murcia_spotipy	0,025939177
0.74	al_rumbo_spotipy	0,071312804
0.74	arenal_spotipy	0,034350096
0.74	bbk_spotipy	0,027569775
0.74	cruilla_spotipy	0,047968786
0.74	download_spotipy	0,004920914
0.74	dreambeach_spotipy	0,041350624
0.74	fib_spotipy	0,018513757
0.74	low_spotipy	0,007171672
0.74	madcool_spotipy	0,027789130
0.74	ps_spotipy	0,024159298
0.74	ressurrection_fest_spotipy	0,002462801
0.74	rock_fest_bcn_spotipy	0,002278151
0.74	sonar_spotipy	0,050397878
0.74	vida_spotipy	0,021093001
0.74	wam_murcia_spotipy	0,025044723
0.77	al_rumbo_spotipy	0,049702863
0.77	arenal_spotipy	0,024732069
0.77	bbk_spotipy	0,021783526
0.77	cruilla_spotipy	0,042460409
0.77	download_spotipy	0,002460457
0.77	dreambeach_spotipy	0,050159041
0.77	fib_spotipy	0,012085369
0.77	low_spotipy	0,012998655
0.77	madcool_spotipy	0,028334014
0.77	ps_spotipy	0,021026248
0.77	ressurrection_fest_spotipy	0,001847101
0.77	rock_fest_bcn_spotipy	0,001735734
0.77	sonar_spotipy	0,056145004
0.77	vida_spotipy	0,020134228
0.77	wam_murcia_spotipy	0,018187239
0.80	al_rumbo_spotipy	0,037817396
0.80	arenal_spotipy	0,018686452
0.80	bbk_spotipy	0,009189925
0.80	cruilla_spotipy	0,030755107
0.80	download_spotipy	0,003339192
0.80	dreambeach_spotipy	0,041350624
0.80	fib_spotipy	0,006685523
0.80	low_spotipy	0,003137606
0.80	madcool_spotipy	0,024383599
0.80	ps_spotipy	0,016639978
0.80	ressurrection_fest_spotipy	0,001641868
0.80	rock_fest_bcn_spotipy	0,001518768
0.80	sonar_spotipy	0,046861185
0.80	vida_spotipy	0,019654842
0.80	wam_murcia_spotipy	0,012224210
0.82	al_rumbo_spotipy	0,027012426
0.82	arenal_spotipy	0,007969222
0.82	bbk_spotipy	0,010551396
0.82	cruilla_spotipy	0,023181088
0.82	download_spotipy	0,001933216
0.82	dreambeach_spotipy	0,014436017
0.82	fib_spotipy	0,003085626
0.82	low_spotipy	0,002689377
0.82	madcool_spotipy	0,015937883
0.82	ps_spotipy	0,011139734
0.82	ressurrection_fest_spotipy	0,000718317
0.82	rock_fest_bcn_spotipy	0,000650900
0.82	sonar_spotipy	0,027851459
0.82	vida_spotipy	0,010546500
0.82	wam_murcia_spotipy	0,005068575
0.85	al_rumbo_spotipy	0,011885467
0.85	arenal_spotipy	0,007969222
0.85	bbk_spotipy	0,006807352
0.85	cruilla_spotipy	0,014689006
0.85	download_spotipy	0,001757469
0.85	dreambeach_spotipy	0,009053095
0.85	fib_spotipy	0,003085626
0.85	low_spotipy	0,003137606
0.85	madcool_spotipy	0,009126822
0.85	ps_spotipy	0,005500244
0.85	ressurrection_fest_spotipy	0,001231401
0.85	rock_fest_bcn_spotipy	0,000976351
0.85	sonar_spotipy	0,019009726
0.85	vida_spotipy	0,004314477
0.85	wam_murcia_spotipy	0,004770423
0.88	al_rumbo_spotipy	0,009184225
0.88	arenal_spotipy	0,004122012
0.88	bbk_spotipy	0,001021103
0.88	cruilla_spotipy	0,007344503
0.88	download_spotipy	0,000351494
0.88	dreambeach_spotipy	0,006850991
0.88	fib_spotipy	0
0.88	low_spotipy	0,001344688
0.88	madcool_spotipy	0,007083504
0.88	ps_spotipy	0,003550790
0.88	ressurrection_fest_spotipy	0,000820934
0.88	rock_fest_bcn_spotipy	0,000216967
0.88	sonar_spotipy	0,017241379
0.88	vida_spotipy	0,003355705
